"section_code","section_name","division_code","division_name","group_code","group_name","category_code","category_name","activity_code","activity_name","description"
"A","الزراعة والحراجة وصيد الأسماك","01","أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة","011","زراعة المحاصيل غير الدائمة","0111","زراعة الحبوب (باستثناء الأرز)، والمحاصيل البقولية والبذور الزيتية","011101","زراعة الحبوب ، يشمل ( القمح والشعير وحبوب الذرة الصفراء والبيضاء ..الخ )",
"A","الزراعة والحراجة وصيد الأسماك","01","أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة","011","زراعة المحاصيل غير الدائمة","0111","زراعة الحبوب (باستثناء الأرز)، والمحاصيل البقولية والبذور الزيتية","011102","زراعة المحاصيل البقولية ، يشمل ( الفول والفاصوليا والحمص والبازلاء ... الخ )",
"A","الزراعة والحراجة وصيد الأسماك","01","أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة","011","زراعة المحاصيل غير الدائمة","0111","زراعة الحبوب (باستثناء الأرز)، والمحاصيل البقولية والبذور الزيتية","011103","زراعة الحبوب (الحبوب)البذور الزيتية ، يشمل ( فول الصويا ، الفول السوداني ، بذور السمسم ... الخ )",
"A","الزراعة والحراجة وصيد الأسماك","01","أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة","011","زراعة المحاصيل غير الدائمة","0112","زراعة الأرز","011200","زراعة الأرز",
"A","الزراعة والحراجة وصيد الأسماك","01","أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة","011","زراعة المحاصيل غير الدائمة","0113","زراعة الخضار والبطيخيات والجذور والدرنات","011301","زراعة البطاطس والبطاطا الحلوة",
"A","الزراعة والحراجة وصيد الأسماك","01","أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة","011","زراعة المحاصيل غير الدائمة","0113","زراعة الخضار والبطيخيات والجذور والدرنات","011302","زراعة البصل",
"A","الزراعة والحراجة وصيد الأسماك","01","أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة","011","زراعة المحاصيل غير الدائمة","0113","زراعة الخضار والبطيخيات والجذور والدرنات","011303","زراعة الطماطم",
"A","الزراعة والحراجة وصيد الأسماك","01","أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة","011","زراعة المحاصيل غير الدائمة","0113","زراعة الخضار والبطيخيات والجذور والدرنات","011304","زراعة الجزر",
"A","الزراعة والحراجة وصيد الأسماك","01","أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة","011","زراعة المحاصيل غير الدائمة","0113","زراعة الخضار والبطيخيات والجذور والدرنات","011305","زراعة الثوم",
"A","الزراعة والحراجة وصيد الأسماك","01","أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة","011","زراعة المحاصيل غير الدائمة","0113","زراعة الخضار والبطيخيات والجذور والدرنات","011306","زراعة الخضار في البيوت المحمية",
