10 yards press,10 ياردة كباسة,
12 yards,12 ياردة,
2 yards,2 ياردة,
2 yards press,2 ياردة كباسة,
20 yards,20 ياردة,
20 yards press,20 ياردة كباسة,
240 Litre,240 لتر,
4 yards,4 ياردة,
6 yards,6 ياردة,
Abampere,أبأمبير,
About Naqel,عن حاوية,
Acre,فدان,
Acre (US),فدان (أمريكي),
Action if the requested container types do not match with the containers designated for this service type,الإجراء إذا لم تتطابق أنواع الحاويات المطلوبة مع الحاويات المخصصة لهذا النوع من الخدمة,
Added,تم الإضافة,
Adjusted Result,النتيجة المعدلة,
"Agricultural chemicals, pesticides, herbicides, and fertilizer waste",مواد كيميائية زراعية ومبيدات حشرية وعشبية ونفايات أسمدة,
Agricultural Waste,نفايات زراعية,
All calculations are on DAILY basis,جميع الحسابات على أساس يومي,
All calculations are based on approved standards and classifications,جميع الحسابات تستند إلى معايير وتصنيفات معتمدة,
All Categories,جميع الفئات,
"All estimates are calculated based on daily waste generation rate. Actual volumes may vary depending on operational patterns, seasonal factors, and facility-specific conditions.",جميع التقديرات محسوبة بناءً على معدل توليد النفايات اليومي. قد تختلف الأحجام الفعلية حسب أنماط التشغيل والعوامل الموسمية والظروف الخاصة بالمنشأة.,
"All projections are calculated based on the daily waste generation rate. Actual volumes may vary depending on operational patterns, seasonal factors, and facility-specific conditions.",جميع التوقعات محسوبة بناءً على معدل توليد النفايات اليومي. قد تختلف الأحجام الفعلية حسب أنماط التشغيل والعوامل الموسمية والظروف الخاصة بالمنشأة.,
All Waste Types,جميع أنواع النفايات,
Allow contracting for containers leased by other customers,السماح بالتعاقد على الحاويات المؤجرة من قبل عملاء آخرين,
Aluminum,ألومنيوم,
"Aluminum cans, foil, siding, and aluminum products",علب الألومنيوم والرقائق والأجزاء الجانبية ومنتجات الألومنيوم,
Ampere,أمبير,
Ampere-Hour,أمبير-ساعة,
Ampere-Minute,أمبير-دقيقة,
Ampere-Second,أمبير-ثانية,
Annual Generation,التوليد السنوي,
Applicable Units of Measurement used to evaluate facilities,وحدات القياس المعمول بها لتقييم المنشآت,
Applied Safety Factors,عوامل الأمان المطبقة,
Apply Facility Rating,تطبيق تصنيف المنشأة,
Are,آر,
Area,مساحة,
Area Unit,وحدة المساحة,
Arshin,أرشين,
Asbestos,أسبستوس,
Asbestos-containing materials requiring specialized disposal,مواد تحتوي على الأسبستوس تتطلب تخلصاً متخصصاً,
Ash and Dust,رماد وغبار,
"Ash from incineration, dust, and fine particulate waste",رماد من الحرق وغبار ونفايات جسيمات دقيقة,
Asphalt and Paving Materials,أسفلت ومواد رصف,
Asphalt and Paving Materials,أسفلت ومواد رصف,
"Asphalt pavement, road debris, and paving materials",رصيف أسفلت وحطام الطرق ومواد الرصف,
Atmosphere,ضغط جوي,
Bar,بار,
Barleycorn,باركورن,
Barrel (Oil),برميل (نفط),
Barrel(Beer),برميل (بيرة),
Base Calculation,الحساب الأساسي,
Base Facility Waste,النفايات الأساسية للمنشأة,
Calculation,الحساب,
Base Waste,النفايات الأساسية,
Batteries,بطاريات,
Beverage Containers,حاويات مشروبات,
Biodegradable waste materials that can decompose naturally through biological processes,مواد نفايات قابلة للتحلل يمكن أن تتحلل بشكل طبيعي من خلال العمليات البيولوجية,
Biot,بيو,
Box,صندوق,
Bread Waste,نفايات بقايا الخبز,
Bricks and Tiles,طوب وبلاط,
"Broken bricks, ceramic tiles, roof tiles, and similar materials",طوب مكسور وبلاط سيراميك وبلاط سقف ومواد مماثلة,
"Broken ceramic items, pottery, and porcelain materials",أدوات سيراميك مكسورة وفخار ومواد خزفية,
Broken Ceramics and Pottery,سيراميك وفخار مكسور,
Brown Glass,زجاج بني,
Brown or amber-colored glass bottles and containers,زجاجات وحاويات زجاجية بنية أو عنبرية اللون,
Btu (It),وحدة حرارية بريطانية (دولية),
Btu (Mean),وحدة حرارية بريطانية (متوسطة),
Btu (Th),وحدة حرارية بريطانية (حرارية),
Btu/Hour,وحدة حرارية بريطانية/ساعة,
Btu/Minutes,وحدة حرارية بريطانية/دقيقة,
Btu/Seconds,وحدة حرارية بريطانية/ثانية,
Bushel (UK),بوشل (بريطاني),
Bushel (US Dry Level),بوشل (أمريكي جاف),
Caballeria,كاباليريا,
Cable Length,طول كابل,
Cable Length (UK),طول كابل (بريطاني),
Cable Length (US),طول كابل (أمريكي),
Calculate,احسب,
